Film	Location	Lat	Lon
"'More strasti'" (2000)	Montenegro
"A Nero Wolfe Mystery" (2000) {Motherhunt: Part 2 (#2.7)}	 Toronto, Ontario, Canada
	43.6534817	-79.3839347
"A Nero Wolfe Mystery" (2000) {The Silent Speaker: Part 2 (#2.14)}	Canada	61.0666922	-107.991707
"A Outra Face da Lua" (2000)	Lisbon, Portugal
	38.7077507	-9.1365919
"A Place in the Sun" (2000)	Bacolet Beach, Tobago, Trinidad and Tobago
	11.173116749999998	-60.725277654011435
"A Place in the Sun" (2000)	Charlottesville, Virginia, USA
	38.029306	-78.4766781
"A Place in the Sun" (2000)	Cocoa Beach, Florida, USA
	28.3194741	-80.6102592
"A Place in the Sun" (2000)	Cocoa Village, Florida, USA
	28.3553183	-80.7260641
"A Place in the Sun" (2000)	Cocoa, Florida, USA
	28.3820058	-80.7796261877344
"A Place in the Sun" (2000)	 Orlando, Florida, USA
	28.5421109	-81.3790304
"A Place in the Sun" (2000)	France
	46.603354	1.8883335
"A Place in the Sun" (2000)	 Titusville, Florida, USA
	28.6122187	-80.8075538
"A Place in the Sun" (2000)	Kissimmee, Florida, USA
	28.2918995	-81.4075838
"A Place in the Sun" (2000)	Lake Mary, Florida, USA
	28.756618000000003	-81.33888382214167
"A Place in the Sun" (2000)	London, England, UK
	51.5073219	-0.1276474
"A Place in the Sun" (2000)	Long Beach, California, USA
	33.7690164	-118.191604
"A Place in the Sun" (2000)	Oklahoma, USA
	34.9550817	-97.2684063
"A Place in the Sun" (2000)	Orlando, Florida, USA
	28.5421109	-81.3790304
"A Place in the Sun" (2000)	 Los Angeles, California, USA
	34.0536909	-118.242766
"A Place in the Sun" (2000)	Tobago, Trinidad and Tobago
	11.24046155	-60.67200597857749
"A Place in the Sun" (2000)	Trinidad, Trinidad and Tobago
	10.443024300000001	-61.26130538878063
"A Raia dos Medos" (2000)	Campo Maior, Portugal
	39.0125063	-7.0692822
